_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,elderly_radio,elderly_radio:confidence,other_exclcrit,other_exclcrit:confidence,other_radio,other_radio:confidence,si_radio,si_radio:confidence,tech_radio,tech_radio:confidence,unsure_elderly,unsure_elderly:confidence,unsure_si,unsure_si:confidence,unsure_tech,unsure_tech:confidence,criteria,elderly_radio_gold,full_text,in_out,other_exclcrit_gold,other_radio_gold,paper_abstract,paper_title,si_radio_gold,tech_radio_gold,unsure_elderly_gold,unsure_si_gold,unsure_tech_gold
1167478665,false,finalized,4,3/6/2017 03:58:28,yes,1.0,,0,no,0.7647,yes,1.0,no,0.7647,,,,,,,no tech,,0,0,,,"This study's purpose was to describe loneliness and to examine the relationships between loneliness, depression, social support, and QOL in chronically ill, older Appalachians. In-person interviews were conducted with a convenience sample of 60 older, chronically ill, community-dwelling, and rural adults. Those with dementia or active grief were excluded. The UCLA Loneliness Scale (Russell, Peplau, & Cutrona, 1985), Geriatric Depression Scale (Shiekh & Yesavage, 1986), Katz ADL scale (Katz, Down, & Cash, 1970), MOS Social Support Scale (Sherbourne & Stewart, 1991), and a visual analog scale for Quality of Life (Spitzer et al., 1981) scale were used. Diagnoses were obtained through chart reviews. SPSS was used for data analyses. The majority of the 65% female sample (M age = 75 years) were married and impoverished. Participants number of chronic illnesses averaged more than 3. Over 88% of participants reported at least 1 area of functional impairment. Loneliness was prevalent with UCLA loneliness scores indicating moderate to high loneliness, ranging from 39 to 62 (possible scores were 20-80). Higher loneliness scores correlated with depression, lower Qol, and lower social support, particularly lower emotional support. This study provides evidence that loneliness is a significant problem for older chronically ill Appalachian adults and that it may be related to low emotional support. Further, it provides evidence that this population may be significantly lonely and may not self-identify as lonely. Screening for loneliness and designing interventions that target the emotional aspects of loneliness could be important in this population. © 2012 Copyright Taylor and Francis Group, LLC.","Loneliness, depression, social support, and quality of life in older chronically ill appalachians",,,,,
1167478666,false,finalized,5,3/6/2017 04:33:08,yes,1.0,,,no,1.0,yes,0.6242,no,1.0,,,,,,,"not SI, no tech",,0,0,,,"Objectives. Community processes are key determinants of older adults' ability to age in place, but existing scales measuring these constructs may not provide accurate, unbiased measurements among older adults because they were designed with the concerns of child-rearing respondents in mind. This study examines the properties of a new theory-based measure of collective efficacy (CE) that accounts for the perspectives of older residents. Methods. Data come from the population-based Chicago Neighborhood Organization, Aging and Health study (N = 1,151), which surveyed adults aged 65 to 95. Using descriptive statistics, correlations, and factor analysis, we explored the acceptability, reliability, and validity of the new measure. Results. Principal component analysis indicated that the new scale measures a single latent factor. It had good internal consistency reliability, was highly correlated with the original scale, and was similarly associated with neighborhood exchange and disorder, self-rated health, mobility, and loneliness. The new scale also showed less age-differentiated nonresponse compared to the original scale. Discussion. The older adult CE scale has reliability and validity equivalent to that of the existing measure but benefits from a more developed theoretical grounding and reduced likelihood of age-related differential nonresponse. © 2012 Adena M. Galinsky et al.",Is collective efficacy age graded? the development and evaluation of a new measure of collective efficacy for older adults,,,,,
1167478667,false,finalized,3,3/6/2017 05:40:25,yes,1.0,,,no,1.0,yes,0.6667,yes,1.0,,,,,,,not SI,,0,0,,,"Purpose: The unprecedented penetration of smartphones into the Singapore market offers potentially cost-effective and sustainable solutions for people to stay connected with their families, friends and communities. However, due to financial constraints and limited technology literacy, older adults often lack the access needed to tap into the benefits of this type of communication technology. To reduce isolation and open their world to new experiences, Singtel, a local telecommunication company, has initiated a project called Silverline. It calls for the donation of used iPhones and chargers for use by needy older adults. Our on-going study seeks to explore to what extent and in what ways smartphones influence the quality of life of older adults, as well as unique and/or significant factors in their appropriation and reinvention of smartphones. Method: In 2013, twenty-seven used iPhones were collected and donated to older adults living alone. We conducted semi-structured interviews with nine recipients (six males, three females, between the ages of 63 to 82 years old) (Figure 1). The interview questionnaire was divided into two sections: Section A solicited data on the respondent's profile such as gender, age, race, as well as life satisfaction and ability to care for one's self; Section B used a modified version of the Technology Acceptance Model (TAM)1,2, that included questions used to assess the older adult's perceptions of smartphone usefulness, ease of use, internal and external controls, willingness to use, as well as intention for future use. Whilst the questionnaire was made up of structured questions, they were also accompanied by open-ended questions that were later extracted and coded to ensure that responses were not confined within the limits of existing theoretical frameworks. The interviews ranged between one to two hours, were conducted in their preferred language and were audio-recorded. Results & Discussion: In spite of living alone, all our interviewees demonstrated an ability to live independently and expressed moderate to high satisfaction towards their current life. Generally, they had a positive attitude toward smartphones. They found them to especially useful and entertaining, to the extent that some expressed they were not willing to have the iPhone taken away from them. Aside from making phone calls to their family and friends, iPhones were most commonly used to take pictures and play games - the main reason for this was the iPhones' ability to help the elderly overcome loneliness and boredom. Only one older adult was active on a social networking site (Facebook) to keep in touch with his family members overseas. Findings were gathered with regard to the problems encountered by older adults due to declined physical, cognitive and perceptual abilities. They had a difficult time quickly finding certain applications or necessary information (e.g. SMS, contacts) on the phone, the ability to update/download new apps from the online store, or to use the phone to take clear pictures. Nevertheless, those problems were easily overcome by persistence or seeking help from others (e.g. family, friends). For older adults, the social context of use is thus argued to be one of the most significant factors driving the adoption and appropriation of smartphones. Some interviewees viewed the smartphone as a status symbol, since they perceived that those with smartphones are younger and have higher incomes. Unsurprisingly, cost is a major hurdle for their adoption of smartphones.",Smartphone use by older adults in Singapore,,,,,
1167478668,false,finalized,5,3/6/2017 04:47:40,yes,1.0,it's a survey,0.2227,yes,0.5864,no,0.6235,no,0.7773,,,,,,,"not SI, no tech",,0,0,,,"Background. Mental health burdens pose a grave threat to quality of life and economic productivity worldwide. Women must balance the economic, emotional and health needs of the household with their own emotional and health needs. Aims. The purpose of this study is to explore the depression level of a group of older women in the community in Macau, and to identify factors associated with depression. Design. A descriptive survey. Research method. The survey was conducted during the period July and August 2004 in six parishes in Macau; 1042 older people aged 60-98 completed a structured questionnaire. Outcome measures. Four main outcome variables were employed in the study: predisposing characteristics, physical, psychosocial and health needs/behaviours outcomes. Results. Among the women, 11·9% (n = 124) had been identified as depressed. Multiple logistic regression analyses were used to identify a model to predict older women who will have depression. The results showed that variables like having hypertension (p = 0·010), a poor social network (p < 0·001), low self-perceived scores on health status (p < 0·001) and ability to meet living costs (p < 0·001), and a low level of ability to do housework (p < 0·001) were significant risk factors for depression. Conclusion. Providing a suitable living environment and improving health conditions for older people may improve depressive symptoms, and maintaining their cognitive function and improving their functional abilities may be crucial for preventing suffering from depressive symptoms. Apart from the findings, these conclusions resonate with recent Macau guidance on managing depression in older women. This stresses the importance of prevention, early detection and stepped care, with more intensive treatment for greater severity of illness and a multifaceted approach to management. Relevance to clinical practice. It is important to regularly screen for depressive symptoms among older women in the community. Focusing on older women with increasing physical disability and social isolation should help in both the prevention and recognition of onset of depression. Light therapy and antidepressants were suggested and providing a suitable living environment and improving health conditions for older people may improve depressive symptoms; maintaining their cognitive function and improving their functional abilities may be crucial for preventing suffering from depressive symptoms. © 2009 Blackwell Publishing Ltd.",Investigating factors associated with depression of older women in Macau,,,,,
1167478669,false,finalized,4,3/6/2017 04:45:51,no,0.767,,0,no,0.5243,yes,1.0,no,1.0,,,,,,,"not OA, not SI, no tech",,0,0,,,"People who develop depression experience a maelstrom of emotions as they struggle to understand what is happening to them. While the experience has been comparatively well documented in older adults, much less is known about the depression experience and responses of young people. In this study, we aimed to explore the experience of young people diagnosed with depression. Twenty-six young people were recruited from a youth mental health service. A qualitative interpretative design was used, incorporating semi-structured, audio-recorded interviews. Results provided four overlapping themes, reflecting the young people's difficulties in coming to terms with, and responding in self-protective, harmful and at times life-threatening ways to their depression: (1) struggling to make sense of their situation; (2) spiralling down; (3) withdrawing; and (4) contemplating self-harm or suicide. Study conclusions are that young people faced considerable difficulties coming to terms with, and responding to, depression. Improving young people's understanding of depression and its treatment, reducing community stigma and providing accessible and youth-focused services remain important targets for intervention. It is also important to improve mental health literacy in the community to increase awareness of depression and how mental health professionals, including nurses, respond effectively to the young person. © 2011 Blackwell Publishing.",The experience of young people with depression: A qualitative study,,,,,
1167478670,false,finalized,4,3/6/2017 03:58:28,yes,1.0,,0,no,0.7647,yes,1.0,no,1.0,,,,,,,no tech,,0,0,,,"Elderly people are especially vulnerable to loneliness. Loneliness as an important phenomenon is correlated with a variety of emotional, physical and health-related complications. However, a few studies have investigated the experience of loneliness from the perspectives of elderly people living in communities. The aim of this study was to explore the lived experiences of Iranian elders of loneliness. A qualitative study using phenomenological approach was employed with four men and nine women living in their own houses. In-depth interviews were transcribed verbatim and analysed using hermeneutic methods. The emerged themes were 'an aversive emotional state', 'isolated from intimate relationships', 'being deprived from social and external support systems' and 'being abused and neglected'. Our study findings support the view that the experience of loneliness creates an aversive emotional state which is associated with negative and painful feelings. In addition, it was revealed that lack of access to intimate relationships and supportive systems as well as the experience of being abused and neglected were major factors contributing to the feelings of loneliness among Iranian elders. In terms of recommendation for practice, worldwide nurses are expected to be knowledgeable about the factors which increase feelings of loneliness. Alternatively, they should develop coping mechanisms among elders with the cooperation of their family members; also, attract community attention in order to improve social services in both quality and quantity. © 2010 The Authors. Journal compilation © 2010 Nordic College of Caring Science.",Understanding loneliness in the lived experiences of Iranian elders,,,,,
1167478671,false,finalized,3,3/6/2017 04:11:38,yes,1.0,,,no,1.0,yes,0.6429,no,1.0,,,,,,,no tech,,0,0,,,"The objective is to identify the differences and the main factors influencing health status and wellbeing variables between institutionalized and noninstitutionalized older adults, as well as the interaction effect of institutionalization and age. Data on a total of 468 older adults from a national survey on noninstitutionalized and from a study on institutionalized older people were analyzed. Sociodemographic variables and measures on wellbeing (Personal Wellbeing Index, PWI), health status (EQ5D), functional ability (Barthel Index), depression (Hospital Anxiety and Depression ScaleDepression subscale), loneliness and comorbidity were used. Analysis of variance and Kruskal-Wallis tests to examine differences between groups and multiple regression analyses to identify factors associated to health and well-being were performed. Significant differences in health status variables, but not in wellbeing were detected between groups. Controlling for age, differences in health status (EQVAS) were found to be not significant in both groups. In the noninstitutionalized group, people aged 78 years or more reported a significantly lower wellbeing (PWI) than younger counterparts. Stepwise multiple regression analysis showed that depression, functional dependence, loneliness and sex were associated with health status; while depression, health status, loneliness and the interaction of ageinstitutionalization were related to wellbeing. The results suggest that age influences communitydwelling older adults wellbeing to a greater extent than it does to institutionalized older people. This finding has implications for resource allocation and interventions addressed to improve health and wellbeing in older adults. © 2012 Taylor and Francis Group, LLC.",Health status and wellbeing of older adults living in the community and in residential care settings: Are differences influenced by age?,,,,,
1167478672,false,finalized,3,3/6/2017 03:19:24,no,1.0,,,no,1.0,yes,0.6154,no,1.0,,,,,,,"not OA, not SI, no tech",,0,0,,,"The consequences of juvenile isolation on adult social behavior were studied in detail using two different analysis methods: frequency, duration, and latency of behavioral elements, and sequential analysis. Rats were either isolated or socially housed during weeks 4 and 5 of age, and after the isolation period housed in pairs with a rat of identical housing condition until the time of testing at 12 weeks of age. Juvenile isolation caused marked effects on the frequency, duration, and latency of various social behavioral elements, whereas the non-social activities such as ambulation, rearing, and self-grooming were hardly affected. Juvenile isolation reduced social exploration, anogenital sniffing, and approach/following and increased the latency to the first occurrence of these social behavioral elements. In contrast, the sequential analysis revealed that the structure of social behavior was barely affected by juvenile isolation. Some transitions were less pronounced in juvenile isolated rats compared to non-isolated rats, but no significant differences were observed in transitions between social elements. Thus, juvenile isolation bisected the time spent on adult social interactions, whereas it did not disrupt the sequential structure of social behavior. The present data suggest that juvenile isolation reduced the motivation for adult social behavior, but when social contact is initiated, a relatively normal social behavioral pattern is displayed. Copyright (C) 1999 Elsevier Science Inc.",Sequential analysis of juvenile isolation-induced decreased social behavior in the adult rat,,,,,
1167478673,false,finalized,3,3/6/2017 05:40:25,yes,1.0,,,no,1.0,yes,1.0,yes,1.0,,,,,,,INCLUDED,,1,1,,,"Background: Older adults are at increased risk of experiencing loneliness and depression, particularly as they move into different types of care communities. Information and communication technology (ICT) usage may help older adults to maintain contact with social ties. However, prior research is not consistent about whether ICT use increases or decreases isolation and loneliness among older adults. Objective: The purpose of this study was to examine how Internet use affects perceived social isolation and loneliness of older adults in assisted and independent living communities. We also examined the perceptions of how Internet use affects communication and social interaction. Methods: One wave of data from an ongoing study of ICT usage among older adults in assisted and independent living communities in Alabama was used. Regression analysis was used to determine the relationship between frequency of going online and isolation and loneliness (n=205) and perceptions of the effects of Internet use on communication and social interaction (n=60). Results: After controlling for the number of friends and family, physical/emotional social limitations, age, and study arm, a 1-point increase in the frequency of going online was associated with a 0.147-point decrease in loneliness scores (P=.005). Going online was not associated with perceived social isolation (P=.14). Among the measures of perception of the social effects of the Internet, each 1-point increase in the frequency of going online was associated with an increase in agreement that using the Internet had: (1) made it easier to reach people (b=0.508, P<.001), (2) contributed to the ability to stay in touch (b=0.516, P<.001), (3) made it easier to meet new people (b=0.297, P=.01, (4) increased the quantity of communication with others (b=0.306, P=.01), (5) made the respondent feel less isolated (b=0.491, P<.001), (6) helped the respondent feel more connected to friends and family (b=0.392, P=.001), and (7) increased the quality of communication with others (b=0.289, P=.01). Conclusions: Using the Internet may be beneficial for decreasing loneliness and increasing social contact among older adults in assisted and independent living communities.",Impact of internet use on loneliness and contact with others among older adults: Cross-sectional analysis,,,,,
1167478674,false,finalized,4,3/6/2017 04:42:15,yes,1.0,,0,no,0.5321,yes,1.0,no,1.0,,,,,,,no tech,,0,0,,,"Background and research questions: In the current paper, it is analyzed whether the extent of loneliness of adults in the second half of their lives has changed between 1996 and 2008 in Germany. Because patterns of objective social integration have evolved differently in different birth cohorts (familial integration in earlier birth cohorts more fragile, more solid in later birth cohorts), we expected different trends in the extent of loneliness in different birth cohorts. Design and methods: The three waves of the German Ageing Survey (DEAS) constitute the database for the analysis: 1996 (n = 3,979), 2002 (n = 2,766) and 2008 (n = 4,392). Loneliness was measured with the de Jong Gierveld Loneliness Scale. The German Ageing Survey (DEAS) is a nationwide representative survey of the German population aged 40-85 years. Results: Only a minority of people report being very lonely in the second part of life. Between 1996 and 2008, there is a positive trend in the extent of loneliness in the second half of life, i. e., the prevalence of loneliness decreased during this period of time. From 1996 to 2008, the youngest respondents (40-54 years of age) and the middle aged respondents (55-69 years) demonstrated a decline from 1996 to 2002 followed by an increase in loneliness between 2002 and 2008. The oldest respondents (70-85 years of age) experienced a steady decline in loneliness. Gender differences (men are somewhat lonelier than women) remain stable between 1996 and 2008. Discussion and conclusion: While people who are currently old are socially well integrated and, hence, experience loneliness only to a small degree, there is a higher risk for persons who are currently in middle adulthood because their social networks have become increasingly more fragile. Further changes have to be observed. © 2012 Springer-Verlag.",Loneliness trends in the second half of life: Results from the German Ageing Survey (DEAS) [Einsamkeittrends in der zweiten Lebenshälfte: Befunde aus dem Deutschen Alterssurvey (DEAS)],,,,,
1167478675,false,finalized,3,3/6/2017 03:19:24,yes,1.0,,,no,1.0,no,0.6154,no,1.0,,,,,,,no tech,,0,0,,,"Aligned with research in the social capital and general health literature, a large body of evidence shows that older people who are more socially active have better cognitive integrity and are less vulnerable to cognitive decline. The present research addresses the question of whether the type of social engagement (group-based vs. individual) has differential effects on these cognitive health outcomes. Drawing on population data (N = 3413) from three waves (i.e., Waves 3, 4 and 5) of the English Longitudinal Study of Ageing, we investigated the independent contribution of group and individual engagement in predicting cognitive functioning four years later. Hierarchical linear regression was used entering age, gender, socioeconomic status, ethnicity, and physical health as covariates. The final model, controlling for initial cognitive function and social engagement (both group and individual) showed that only group engagement made a significant, sustained, and unique contribution to subsequent cognitive function. Furthermore, the effects of group engagement were stronger with increasing age. These findings extend previous work on the social determinants of health by pinpointing the types of relationships that are particularly beneficial in protecting cognitive health. The fact that group engagement optimized health outcomes, and that this was especially the case with increasing age, has important implications for directing community resources to keep older adults mentally active and independent for longer. © 2014.","""The we's have it"": Evidence for the distinctive benefits of group engagement in enhancing cognitive health in aging",,,,,
1167478676,false,finalized,4,3/6/2017 03:58:28,yes,1.0,,0,no,0.7647,yes,1.0,yes,0.7647,,,,,,,no tech,,0,0,,,"The adoption of digital media for supporting social interaction among family members has caused a misalignment between the social interaction spaces of different generations. This usually produces social isolation in the elderly people due to their limitations on using digital media. This thesis work studies cross-generational family communication practices, in order to provide insights for designing computer-mediated solutions that help reduce the social isolation of elderly people. Based on that, we intend to support family connection through a social personalization model that tries to align the social interaction spaces of the elderly with those of their family members.",Aligning the social interaction spaces of intergenerational family members,,,,,
1167478677,false,finalized,4,3/6/2017 04:49:55,yes,0.7368,,,no,1.0,no,0.7368,no,1.0,,,,,,,"not SI, no tech",,0,0,,,"Alzheimer's Disease (AD), the most progressive, degenerative neurologic disease of the brain and the most common cause of cognitive impairment in older adults, affects people who are beyond the 65 year age range. Although AD may affect people who are younger, it is definitely a painful and stressful experience for the patient as well as for loved ones. There are many stressors involved in the care of a person affected by AD: loneliness, depression, coping with unpredictable patient behavior, lack of knowledge regarding care of AD patients, etc. Monitoring the safety of AD patients and taking care of basic needs are sometimes challenging for caregivers. Nursing interventions would include: encouraging caregivers to learn more about the disease, understand what is available in the community for social support and understand legal and financial issues.",Nursing interventions to assist in decreasing stress in caregivers of Alzheimer's patients.,,,,,
1167478678,false,finalized,5,3/6/2017 04:33:08,yes,1.0,,,no,1.0,yes,0.5638,yes,1.0,,,,,,,no SI,,1,0,,,"While much of human-robot interaction research focuses upon people interacting with autonomous robots, there is also much to be gained from exploring human interpersonal interaction through robots. The current study focuses on mobile remote presence (MRP) systems as used by a population who could potentially benefit from more social connectivity and communication with remote people -older adults. Communication technologies are important for ensuring safety, independence, and social support for older adults, thereby potentially improving their quality of life and maintaining their independence [24]. However, before such technologies would be accepted and used by older adults, it is critical to understand their perceptions of the benefits, concerns, and adoption criteria for MRP systems. As such, we conducted a needs assessment with twelve volunteer participants (ages 63-88), who were given first-hand experience with both meeting a visitor via the MRP system and driving the MRP system to visit that person. The older adult participants identified benefits such as being able to see and be seen via the MRP system, reducing travel costs and hassles, and reducing social isolation. Among the concerns identified were etiquette of using the MRP, personal privacy, and overuse of the system. Some new use-cases were identified that have not yet been explored in prior work, for example, going to museums, attending live performances, and visiting friends who are hospitalized. The older adults in the current study preferred to operate the MRP themselves, rather than to be visited by others operating the MRP system. More findings are discussed in terms of their implications for design.","Mobile remote presence systems for older adults: Acceptance, benefits, and concerns",,,,,
